Type, Run, Ratio, Test1, Test2
1280x720, 1, 4:3, 127.08, 102.08
1280x720, 1, 5:4, 120.05, 97.21
1280x720, 1, 16:10, 122.52, 96.85
1280x720, 1, 16:9, 129.80, 102.86
1280x720, 1, 21:9, 123.03, 99.29
1280x720, 1, 9:16, 123.21, 104.60
1280x720, 10, 4:3, 121.16, 96.67
1280x720, 10, 5:4, 119.29, 97.20
1280x720, 10, 16:10, 122.29, 96.43
1280x720, 10, 16:9, 119.84, 96.04
1280x720, 10, 21:9, 117.63, 94.71
1280x720, 10, 9:16, 116.82, 98.74
1280x720, 11, 4:3, 120.36, 96.61
1280x720, 11, 5:4, 119.99, 97.21
1280x720, 11, 16:10, 121.91, 96.09
1280x720, 11, 16:9, 119.80, 96.11
1280x720, 11, 21:9, 117.55, 95.16
1280x720, 11, 9:16, 116.49, 98.92
1280x720, 12, 4:3, 119.93, 96.59
1280x720, 12, 5:4, 119.53, 96.86
1280x720, 12, 16:10, 121.81, 96.38
1280x720, 12, 16:9, 119.25, 96.11
1280x720, 12, 21:9, 117.56, 94.72
1280x720, 12, 9:16, 117.22, 98.80
1280x720, 13, 4:3, 120.23, 96.22
1280x720, 13, 5:4, 120.22, 97.34
1280x720, 13, 16:10, 122.70, 96.67
1280x720, 13, 16:9, 120.05, 95.99
1280x720, 13, 21:9, 117.47, 94.91
1280x720, 13, 9:16, 116.74, 98.56
1280x720, 14, 4:3, 120.87, 96.67
1280x720, 14, 5:4, 119.95, 96.85
1280x720, 14, 16:10, 121.83, 96.35
1280x720, 14, 16:9, 119.73, 96.01
1280x720, 14, 21:9, 117.96, 94.85
1280x720, 14, 9:16, 117.33, 98.99
1280x720, 15, 4:3, 120.39, 96.73
1280x720, 15, 5:4, 119.72, 97.17
1280x720, 15, 16:10, 121.91, 96.26
1280x720, 15, 16:9, 119.83, 96.07
1280x720, 15, 21:9, 117.61, 94.89
1280x720, 15, 9:16, 116.88, 99.05
1280x720, 2, 4:3, 124.25, 99.22
1280x720, 2, 5:4, 119.54, 97.37
1280x720, 2, 16:10, 121.99, 96.75
1280x720, 2, 16:9, 125.49, 99.58
1280x720, 2, 21:9, 119.68, 96.38
1280x720, 2, 9:16, 120.17, 101.17
1280x720, 3, 4:3, 121.56, 97.62
